,,"DGIF_1
(Academic Level)","DGIF_2
(Age)","DGIF_3
(Gender)","DGIF_4
(Family Income)","DGIF_5 
(No. of Family Members)",BIF_1 (Who influence your decision in subject selection),BIF_2 (Factor influencing decision),SGIF_1 (Dependency),"IAIF_1
(Adequate support and guidance )","ESIF_2
(What Decide Future Goal)",Predicted Mood,Overall,Mood Swing Type,Swing Type,Zone Switch
443,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Your own decision,Personal Interest,Online Resources,Yes,Hobbies/interest areas,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
444,,Under Graduate,More than 25 Yrs.,Female,300000,5,Your own decision,Career Prospects,Academic Advisors,Yes,Career Preferences,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
445,,Under Graduate,Less than 20 Yrs. ,Male,200000,7,Your own decision,Personal Interest,Online Resources,No,Hobbies/interest areas,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
446,,Under Graduate,Less than 20 Yrs. ,Male,100000,6,Your own decision,Personal Interest,Family Members,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
447,,Under Graduate,Less than 20 Yrs. ,Male,100000,8,Your own decision,Personal Interest,Friends and Peers,Yes,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
448,,Senior Secondary,Less than 20 Yrs. ,Male,200000,5,Family/Society,Personal Interest,Family Members,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
449,,Under Graduate,Less than 20 Yrs. ,Female,100000,6,Your own decision,Career Prospects,Family Members,Not Sure,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
450,,Under Graduate,Less than 20 Yrs. ,Female,200000,7,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
451,,Senior Secondary,Less than 20 Yrs. ,Female,500000,7,Your own decision,Personal Interest,Academic Advisors,Yes,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
452,,Senior Secondary,Less than 20 Yrs. ,Female,300000,2,Your own decision,Personal Interest,Family Members,Yes,Hobbies/interest areas,Happy,Happy,Neutral,Neutral_swing,Positive_zone
453,,Post Graduate,More than 25 Yrs.,Female,1000000,4,Family/Society,Parental Expectations,Family Members,Yes,Career Preferences,Stressed,Happy,Major_swing,Positive_swing,Positive_zone
454,,Professional,More than 25 Yrs.,Male,300000,2,Family/Society,Personal Interest,Academic Advisors,Yes,Recent Trends,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
455,,Under Graduate,21-25 Yrs.,Female,800000,4,Your own decision,Personal Interest,Previous Students' Experiences,No,Recent Trends,Relieved,Stressed,Minor_swing,Negative_swing,Negative_swing
456,,Under Graduate,Less than 20 Yrs. ,Male,200000,2,Your own decision,Career Prospects,Online Resources,Yes,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
457,,Post Graduate,More than 25 Yrs.,Female,500000,5,Family/Society,Academic Performance,Online Resources,Yes,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
458,,Under Graduate,21-25 Yrs.,Female,1000000,4,Subject Matter Expert (SME),Career Prospects,Previous Students' Experiences,No,Hobbies/interest areas,Stressed,Overwhelmed,Extreme_swing,Positive_swing,Positive_zone
459,,Under Graduate,Less than 20 Yrs. ,Female,1000000,4,Your own decision,Academic Performance,Previous Students' Experiences,Yes,Career Preferences,Stressed,Stressed,Neutral,Neutral_swing,Negative_swing
460,,Working Professionals,More than 25 Yrs.,Male,500000,4,Your own decision,Personal Interest,Friends and Peers,Yes,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
461,,Working Professionals,More than 25 Yrs.,Female,500000,6,Your own decision,Academic Performance,Academic Advisors,Yes,Career Preferences,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
462,,Post Graduate,21-25 Yrs.,Female,300000,4,Teachers,Personal Interest,Academic Advisors,Yes,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
463,,Post Graduate,21-25 Yrs.,Female,200000,5,Your own decision,Career Prospects,Friends and Peers,Yes,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
464,,Post Graduate,More than 25 Yrs.,Female,500000,4,Your own decision,Academic Performance,Academic Advisors,Yes,Hobbies/interest areas,Neutral,Neutral,Neutral,Neutral_swing,Neutral_zone
465,,Under Graduate,21-25 Yrs.,Female,300000,2,Family/Society,Personal Interest,Family Members,Yes,Hobbies/interest areas,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
466,,Post Graduate,More than 25 Yrs.,Female,300000,6,Teachers,Career Prospects,Academic Advisors,No,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
467,,Senior Secondary,Less than 20 Yrs. ,Male,500000,3,Your own decision,Personal Interest,Family Members,Yes,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
468,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Family Members,Yes,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
469,,Senior Secondary,Less than 20 Yrs. ,Male,200000,4,Teachers,Personal Interest,Online Resources,Not Sure,Recent Trends,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
470,,Senior Secondary,Less than 20 Yrs. ,Male,300000,4,Family/Society,Personal Interest,Previous Students' Experiences,No,Hobbies/interest areas,Happy,Happy,Neutral,Neutral_swing,Positive_zone
471,,Under Graduate,21-25 Yrs.,Female,200000,4,Your own decision,Career Prospects,Online Resources,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
472,,Senior Secondary,Less than 20 Yrs. ,Female,500000,6,Your own decision,Career Prospects,Academic Advisors,No,Career Preferences,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
473,,Senior Secondary,Less than 20 Yrs. ,Male,300000,2,Family/Society,Parental Expectations,Online Resources,Not Sure,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
474,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Online Resources,Not Sure,Recent Trends,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
475,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
476,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Friends/Peer group,Career Prospects,Academic Advisors,Yes,Financial Stability,Overwhelmed,Neutral,Major_swing,Negative_swing,Neutral_zone
477,,Under Graduate,Less than 20 Yrs. ,Male,200000,6,Subject Matter Expert (SME),Personal Interest,Previous Students' Experiences,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
478,,Under Graduate,Less than 20 Yrs. ,Female,200000,5,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
479,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
480,,Under Graduate,Less than 20 Yrs. ,Female,500000,3,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
481,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Family/Society,Personal Interest,Previous Students' Experiences,Yes,Financial Stability,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
482,,Under Graduate,Less than 20 Yrs. ,Male,300000,4,Family/Society,Personal Interest,Online Resources,Yes,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
483,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Personal Interest,Academic Advisors,Yes,Hobbies/interest areas,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
484,,Under Graduate,Less than 20 Yrs. ,Male,300000,4,Your own decision,Personal Interest,Online Resources,Yes,Recent Trends,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
485,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Family/Society,Academic Performance,Online Resources,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
486,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Your own decision,Personal Interest,Friends and Peers,Not Sure,Family Professional Goals,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
487,,Under Graduate,Less than 20 Yrs. ,Female,200000,5,Teachers,Career Prospects,Academic Advisors,Yes,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
488,,Under Graduate,Less than 20 Yrs. ,Male,200000,5,Family/Society,Parental Expectations,Online Resources,Yes,Hobbies/interest areas,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
489,,Under Graduate,Less than 20 Yrs. ,Male,300000,5,Friends/Peer group,Career Prospects,Friends and Peers,Not Sure,Financial Stability,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
490,,Under Graduate,Less than 20 Yrs. ,Female,300000,4,Your own decision,Personal Interest,Online Resources,Not Sure,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
491,,Under Graduate,Less than 20 Yrs. ,Male,300000,5,Friends/Peer group,Career Prospects,Friends and Peers,No,Career Preferences,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
492,,Under Graduate,Less than 20 Yrs. ,Male,300000,4,Friends/Peer group,Career Prospects,Friends and Peers,Not Sure,Financial Stability,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
493,,Under Graduate,Less than 20 Yrs. ,Female,200000,3,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
494,,Under Graduate,Less than 20 Yrs. ,Male,200000,5,Your own decision,Personal Interest,Family Members,Not Sure,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
495,,Post Graduate,21-25 Yrs.,Male,200000,5,Friends/Peer group,Personal Interest,Academic Advisors,Yes,Family Professional Goals,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
496,,Under Graduate,Less than 20 Yrs. ,Male,300000,6,Family/Society,Personal Interest,Friends and Peers,Yes,Hobbies/interest areas,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
497,,Under Graduate,Less than 20 Yrs. ,Female,300000,5,Your own decision,Personal Interest,Friends and Peers,Not Sure,Hobbies/interest areas,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
498,,Post Graduate,Less than 20 Yrs. ,Male,200000,5,Friends/Peer group,Personal Interest,Academic Advisors,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
499,,Senior Secondary,Less than 20 Yrs. ,Female,200000,6,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
500,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Family/Society,Career Prospects,Online Resources,Yes,Hobbies/interest areas,Neutral,Stressed,Major_swing,Negative_swing,Negative_swing
501,,Under Graduate,Less than 20 Yrs. ,Female,300000,4,Your own decision,Academic Performance,Family Members,Not Sure,Financial Stability,Happy,Happy,Neutral,Neutral_swing,Positive_zone
502,,Under Graduate,Less than 20 Yrs. ,Female,200000,3,Your own decision,Personal Interest,Academic Advisors,Yes,Recent Trends,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
503,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Family/Society,Parental Expectations,Friends and Peers,Not Sure,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
504,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Financial Stability,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
505,,Under Graduate,21-25 Yrs.,Female,500000,4,Friends/Peer group,Academic Performance,Friends and Peers,Not Sure,Financial Stability,Neutral,Relieved,Minor_swing,Negative_swing,Negative_swing
506,,Under Graduate,Less than 20 Yrs. ,Male,300000,5,Your own decision,Personal Interest,Family Members,Yes,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
507,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Subject Matter Expert (SME),Parental Expectations,Family Members,No,Family Professional Goals,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
508,,Under Graduate,Less than 20 Yrs. ,Female,200000,5,Family/Society,Personal Interest,Academic Advisors,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
509,,Post Graduate,More than 25 Yrs.,Male,300000,6,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
510,,Under Graduate,Less than 20 Yrs. ,Female,500000,4,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
511,,Under Graduate,Less than 20 Yrs. ,Male,300000,7,Family/Society,Parental Expectations,Family Members,No,Financial Stability,Happy,Stressed,Major_swing,Negative_swing,Negative_swing
512,,Under Graduate,Less than 20 Yrs. ,Female,500000,5,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
513,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Previous Students' Experiences,Not Sure,Hobbies/interest areas,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
514,,Under Graduate,Less than 20 Yrs. ,Male,200000,3,Your own decision,Personal Interest,Academic Advisors,Yes,Career Preferences,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
515,,Under Graduate,Less than 20 Yrs. ,Male,300000,3,Your own decision,Personal Interest,Online Resources,Yes,Financial Stability,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
516,,Under Graduate,21-25 Yrs.,Male,200000,4,Your own decision,Personal Interest,Online Resources,Not Sure,Hobbies/interest areas,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
517,,Under Graduate,Less than 20 Yrs. ,Male,500000,5,Family/Society ,Parental Expectations,Online Resources,Not Sure,Financial Stability,Neutral,Overwhelmed,Major_swing,Positive_swing,Positive_zone
518,,Senior Secondary,Less than 20 Yrs. ,Male,200000,4,Family/Society,Career Prospects,Family Members,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
519,,Under Graduate,Less than 20 Yrs. ,Male,200000,4,Family/Society ,Personal Interest ,Online Resources,Not Sure,Financial Stability,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
520,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Your own decision,Personal Interest,Previous Students' Experiences,Yes,Financial Stability,Overwhelmed,Relieved,Major_swing,Negative_swing,Negative_swing
521,,Senior Secondary,Less than 20 Yrs. ,Female,300000,4,Your own decision,Personal Interest,Academic Advisors,Not Sure,Career Preferences,Happy,Relieved,Major_swing,Negative_swing,Negative_swing
522,,Under Graduate,Less than 20 Yrs. ,Male,500000,4,Family/Society,Career Prospects,Academic Advisors,Not Sure,Career Preferences,Neutral,Happy,Minor_swing,Positive_swing,Positive_zone
523,,Under Graduate,21-25 Yrs.,Male,300000,4,Family/Society ,Personal Interest ,Previous Students' Experiences,Not Sure,Hobbies/interest areas,Happy,Neutral,Minor_swing,Negative_swing,Neutral_zone
524,,Senior Secondary,Less than 20 Yrs. ,Male,200000,8,Your own decision,Career Prospects,Online Resources,Yes,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
525,,Under Graduate,Less than 20 Yrs. ,Female,200000,4,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
526,,Senior Secondary,Less than 20 Yrs. ,Male,200000,4,Your own decision,Personal Interest,Online Resources,No,Hobbies/interest areas,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
527,,Senior Secondary,Less than 20 Yrs. ,Female,200000,4,Your own decision,Career Prospects,Family Members,Yes,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
528,,Senior Secondary,Less than 20 Yrs. ,Male,200000,4,Your own decision,Personal Interest,Family Members,Yes,Financial Stability,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
529,,Senior Secondary,Less than 20 Yrs. ,Female,200000,3,Your own decision,Personal Interest,Online Resources,Yes,Career Preferences,Overwhelmed,Overwhelmed,Neutral,Neutral_swing,Positive_zone
530,,Senior Secondary,Less than 20 Yrs. ,Male,200000,4,Family/Society,Personal Interest,Academic Advisors,Yes,Career Preferences,Overwhelmed,Happy,Minor_swing,Negative_swing,Positive_zone
531,,Senior Secondary,Less than 20 Yrs. ,Female,100000,4,Your own decision,Career Prospects,Online Resources,Not Sure,Career Preferences,Overwhelmed,Stressed,Extreme_swing,Negative_swing,Negative_swing
532,,Senior Secondary,Less than 20 Yrs. ,Male,300000,4,Your own decision,Career Prospects,Previous Students' Experiences,Yes,Career Preferences,Happy,Overwhelmed,Minor_swing,Positive_swing,Positive_zone
